"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-17","3.9",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"17.8",",,X","6.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-18","4.2",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"26.7",",,X","8.9",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-19","7.2",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"20.0",",,X","8.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-20","4.0",",,W","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"12.2",",,X","3.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-21","5.1",",,W","4.8",",,X,2400","0.0",",,X,","0.0",",,X,",,,"21.1",",,X","6.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-22","4.2",",,W","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"16.7",",,X","9.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-23","4.1",",,W","10.9",",,X,2400","0.0",",,X,","0.0",",,X,",,,"11.1",",,X","6.7",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-24","4.7",",,W","1.3",",,X,2400","0.0",",,X,","0.0",",,X,",,,"6.7",",,X","2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-25","4.5",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"9.4",",,X","0.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-26","3.8",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","0.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-27","3.5",",,W","0.5",",,X,2400","5.0",",,X,","0.0","T,,X,",,,"7.8",",,X","-0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-28","4.2",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"8.3",",,X","-0.6",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-29","4.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","1.1",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-30","3.4",",,W","3.8",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"8.9",",,X","3.3",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-03-31","4.0",",,W","1.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"5.6",",,X","2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-01","4.9",",,W","2.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.0",",,X","2.8",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-02","4.3",",,W","1.0",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"11.1",",,X","2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-03","3.3",",,W","0.0","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"15.6",",,X","4.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-04","7.1",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"29.4",",,X","9.4",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-05","7.0",",,W","10.7",",,X,2400","0.0",",,X,","0.0",",,X,",,,"22.2",",,X","5.0",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-06","5.1",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"17.8",",,X","2.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-07","3.0",",,W","0.0",",,X,2400","0.0",",,X,","0.0",",,X,",,,"20.6",",,X","7.2",",,X"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","38.84721","-77.03454","4.1","2011-04-08","4.2",",,W","8.9",",,X,2400","0.0",",,X,","0.0",",,X,",,,"10.6",",,X","6.1",",,X"
